6,6,6,6,6,6,5.99,6,5.99,3.14,3.41
6,6,6,6,6,6,5.99,5.99,2.92,3.36,3.66
6,6,6,6,6,5.99,2.19,2.84,3.51,3.84,3.96
0.08,0.06,0.05,0.49,1.02,1.56,2.14,2.94,3.67,4.69,5.49
0.06,0.18,0.19,0.53,1.06,1.55,2.14,2.63,3.73,4.72,5.34
0.06,0.04,0.06,0.52,1.03,1.51,2.02,2.58,3.47,4.09,4.69
0.09,0.06,0.04,0.52,0.99,1.49,2.08,2.27,2.99,3.76,3.7
0.06,0.07,0.06,0.5,1.08,1.36,1.98,2.36,3.27,3.46,3.82
0,0,0.31,0.56,1.06,1.5,1.9,2.43,3.06,3.1,3.69
